house_median_price,sa3_region
870000.0,Banyule
1760000.0,Bayside
2100000.0,Boroondara
609000.0,Brimbank
1010000.0,Brunswick - Coburg
512750.0,Cardinia
620000.0,Casey - North
547333.0,Casey - South
685000.0,Dandenong
801000.0,Darebin - North
1271000.0,Darebin - South
1240000.0,Essendon
600000.0,Frankston
1400000.0,Glen Eira
885000.0,Hobsons Bay
860000.0,Keilor
960000.0,Kingston
805000.0,Knox
643750.0,MacEdon Ranges
1280001.0,Manningham - East
1330000.0,Manningham - West
880500.0,Maribyrnong
840000.0,Maroondah
1190000.0,Melbourne City
465000.0,Melton - Bacchus Marsh
1205000.0,Monash
710000.0,Moreland - North
750000.0,Mornington Peninsula
855000.0,Nillumbik - Kinglake
1630000.0,Port Phillip
1918000.0,Stonnington - East
1864500.0,Stonnington - West
495000.0,Sunbury
535000.0,Tullamarine - Broadmeadows
1060000.0,Whitehorse - East
1300000.0,Whitehorse - West
590000.0,Whittlesea - Wallan
520000.0,Wyndham
1341000.0,Yarra
680000.0,Yarra Ranges
