premises_suburb, state, premises_post_code, division_name, polling_place_name, polling_place_id
"BAYSWATER","VIC","3153","Aston","Bayswater","2942"
"BAYSWATER","VIC","3153","Aston","Bayswater South","83798"
"BAYSWATER","VIC","3153","Aston","Bayswater West","2945"
"FERNTREE GULLY","VIC","3156","Aston","Blackwood Park","2947"
"WANTIRNA SOUTH","VIC","3152","Aston","BLV Aston PPVC","65510"
"BORONIA","VIC","3155","Aston","Boronia","2948"
"BORONIA","VIC","3155","Aston","Boronia ASTON PPVC","63158"
"BORONIA","VIC","3155","Aston","Boronia East","4273"
"BORONIA","VIC","3155","Aston","Boronia North","4274"
"WANTIRNA SOUTH","VIC","3152","Aston","Divisional Office (PREPOLL)","30188"
"FERNTREE GULLY","VIC","3156","Aston","Fairhills","2950"
"FERNTREE GULLY","VIC","3156","Aston","Ferntree Gully","4282"
"FERNTREE GULLY","VIC","3156","Aston","Ferntree Gully North","4283"
"FERNTREE GULLY","VIC","3156","Aston","Ferntree Gully West","2951"
"ROWVILLE","VIC","3178","Aston","Heany Park","31743"
"ROWVILLE","VIC","3178","Aston","Karoo","31744"
"FERNTREE GULLY","VIC","3156","Aston","Kent Park","2957"
"KNOXFIELD","VIC","3180","Aston","Knoxfield","2956"
"WANTIRNA SOUTH","VIC","3152","Aston","Knox Gardens","2958"
"LYSTERFIELD","VIC","3156","Aston","Lysterfield","2959"
"FERNTREE GULLY","VIC","3156","Aston","Mountain Gate","2961"
"ROWVILLE","VIC","3178","Aston","Park Ridge","11513"
"ROWVILLE","VIC","3178","Aston","Rowville","2963"
"ROWVILLE","VIC","3178","Aston","Rowville Central","38413"
"ROWVILLE","VIC","3178","Aston","Rowville East","2964"
"ROWVILLE","VIC","3178","Aston","Rowville North","83810"
"ROWVILLE","VIC","3178","Aston","Rowville PPVC","83838"
"SCORESBY","VIC","3179","Aston","Scoresby","2965"
"BORONIA","VIC","3155","Aston","Studfield East","2969"
"WANTIRNA","VIC","3152","Aston","Templeton","2970"
"THE BASIN","VIC","3154","Aston","The Basin","4301"
"UPPER FERNTREE GULLY","VIC","3156","Aston","Upper Ferntree Gully (Aston)","4284"
"WANTIRNA","VIC","3152","Aston","Wantirna","2971"
"WANTIRNA","VIC","3152","Aston","Wantirna Central","2973"
"WANTIRNA SOUTH","VIC","3152","Aston","Wantirna South","2974"
"WANTIRNA SOUTH","VIC","3152","Aston","Wantirna South PPVC","64690"
"WANTIRNA SOUTH","VIC","3152","Aston","Wantirna West","2952"
"KNOXFIELD","VIC","3180","Aston","Watersedge","2966"
"BACCHUS MARSH","VIC","3340","Ballarat","Bacchus Marsh","3252"
"DARLEY","VIC","3340","Ballarat","Darley","3276"
"MADDINGLEY","VIC","3340","Ballarat","Maddingley","51057"
"MELTON","VIC","3337","Ballarat","Melton BALLARAT PPVC","64713"
"MYRNIONG","VIC","3341","Ballarat","Myrniong","3316"
"KYNETON","VIC","3444","Bendigo","Kyneton","3298"
"KYNETON","VIC","3444","Bendigo","Kyneton East","64652"
"MALMSBURY","VIC","3446","Bendigo","Malmsbury","3305"
"NEWHAM","VIC","3442","Bendigo","Newham","3318"
"TYLDEN","VIC","3444","Bendigo","Tylden","3336"
"WOODEND","VIC","3442","Bendigo","Woodend","3339"
