Left Winged,Comments on Left keys,Right Winged,Comments on Right keys,General political words,
mark mcgowan,,Free speech,,#auspol,
Mark McGowan,,Freedom of speech,,#scomo,
#scottyFromMarketing,,#freedomofspeech,,Scott Morrison,
Scotty from Marketing,,#freespeech,,Dutton,
How Good is Australia?,,Free market,,Albo,
#HowGoodisAustralia,,#freemarket,,Albanese,
#coolAndNormal,,agenda left,can appear separately in tweet but must appear in the same tweet,#lnp,
#shitfuckery,,agenda leftist,can appear separately in tweet but must appear in the same tweet,#australianlabor,
Juice Media,,agenda lefty,can appear separately in tweet but must appear in the same tweet,#australiangreens,
Honest government ads,,#theirABC,,#springst ,
LNPfail,,ABC bias,can appear separately in tweet but must appear in the same tweet,#vicpol ,
#LNPfail,,ABC defund,,#victorianLabor,
Smirk ScoMo,can appear separately in tweet but must appear in the same tweet,ABC propaganda,,#victorianGreens,
#empathyCoach,,#Laborfail,,#vicgreens,
Dutton potato,can appear separately in tweet but must appear in the same tweet,#DictatorDan,,#nswpol,
#smirko,,#DanLiedPeopleDied,,#nswlabor,
#slomo,,#climategate,,#nswgreens,
#sportsRorts,,co2tax,,#liberalnsw,
#saveOurABC,,#carbontax,,#qldpol,
#freedomOfPress,,#climateHoax,,#qldvotes,
#mediaFreedom,,#globalWarmingScam,,#qldlabor,
#defendMediaFreedom,,#climateScam,,#qldgreens,
#IStandWithDan,,Climate Alarmism,,#qanda,
#climateCrisis,,#NotAllMen,,#fakenews,
#climateEmergency,,#allLivesMatter,,Trump,
#stopAdani,,,,Clive Palmer,
#ss4c,,,,#clivepalmer,
#extinctionrebellion,,,,@realDonaldTrump,
#xrwa,,,,@ScottMorrisonMP,
#climateaction,,,,Snowflake,
#fridaysforfuture,,,,boomer,
#climatestrike,,,,woke,
#climatejustice,,,,Quiet Australians,
#gretathunberg,,,,quietAustralians,
#blackLivesMatter,,,,#theQuietAustralians,
#blm,,,,#theboltreport,
#metoo,,,,#credlin,
#bringThemHere,,,,#skyNews,
#IhaveARoom,,,,#sydneymoringherald,
#gameOver,,,,#theage,
#PalmSunday,,,,#abcnews,
#freeTheRefugees,,,,#waleedaly,
#justiceForRefugees,,,,#theprojecttv,
#justice4refugees,,,,#theconversation,
#hometoBilo,,,,#fairgo,
#animalRights,,,,#proudBoys ,
#mcGowanforPM,,,,#climatechange,
#scomo #hawaii,can appear separately in tweet but must appear in the same tweet,,,#globalwarming,
#scottyFromMarketing #hawaii,can appear separately in tweet but must appear in the same tweet,,,#NotAllMen,
#auspol #hawaii,can appear separately in tweet but must appear in the same tweet,,,#allLivesMatter,
